Date,Open,High,Low,Close,Volume,Adjusted Close
2015-03-10,9.39,9.56,9.15,9.22,4068500.0,9.22
2015-03-09,9.93,10.08,9.53,9.56,3199700.0,9.56
2015-03-06,9.91,9.93,9.75,9.91,4316500.0,9.91
2015-03-05,10.11,10.21,9.94,9.94,2252500.0,9.94
2015-03-04,10.19,10.23,9.93,10.15,3200900.0,10.15
2015-03-03,10.16,10.23,10.07,10.15,3613900.0,10.15
2015-03-02,10.13,10.2,9.73,10.11,7271200.0,10.11
2015-02-27,9.87,10.24,9.86,10.24,6227000.0,10.24
2015-02-26,9.57,10.05,9.46,9.81,5358500.0,9.81
2015-02-25,9.24,9.77,9.14,9.67,5715300.0,9.67
2015-02-24,8.66,9.32,8.57,9.24,7448000.0,9.24
2015-02-23,7.73,8.53,7.73,8.53,10027500.0,8.53
2015-02-20,8.87,8.94,8.79,8.86,2486100.0,8.86
2015-02-19,8.72,8.96,8.48,8.87,2899500.0,8.87
2015-02-18,8.83,9.0,8.78,8.93,4444300.0,8.93
2015-02-17,8.86,8.94,8.67,8.91,2802900.0,8.91
2015-02-13,8.86,8.93,8.72,8.9,3527100.0,8.9
2015-02-12,8.91,8.98,8.51,8.7,5326900.0,8.7
2015-02-11,8.49,8.84,8.31,8.71,2873100.0,8.71
2015-02-10,8.82,8.83,8.36,8.63,3493200.0,8.63
2015-02-09,8.82,9.0,8.7,8.78,3919100.0,8.78
2015-02-06,8.93,8.98,8.64,8.73,3924500.0,8.73
2015-02-05,9.07,9.18,8.78,8.89,5690400.0,8.89
2015-02-04,9.01,9.2,8.74,8.95,4726800.0,8.95
2015-02-03,9.44,9.64,9.1,9.23,8237300.0,9.23
2015-02-02,9.28,9.28,8.98,9.24,4022900.0,9.24
2015-01-30,8.98,9.28,8.73,9.12,5032300.0,9.12
2015-01-29,8.97,9.16,8.57,9.11,4980500.0,9.11
2015-01-28,9.01,9.16,8.61,8.92,7797200.0,8.92
2015-01-27,8.43,8.86,8.3,8.78,3607400.0,8.78
2015-01-26,8.32,8.63,8.27,8.62,2422900.0,8.62
2015-01-23,8.26,8.64,8.23,8.3,3014300.0,8.3
2015-01-22,8.45,8.47,8.06,8.31,2571400.0,8.31
2015-01-21,8.03,8.45,7.98,8.37,3114500.0,8.37
2015-01-20,8.13,8.13,7.77,7.91,3328600.0,7.91
2015-01-16,7.97,8.28,7.9,8.26,3176600.0,8.26
2015-01-15,8.49,8.54,7.84,7.9,4671600.0,7.9
2015-01-14,8.05,8.42,7.89,8.39,5398600.0,8.39
2015-01-13,8.32,8.38,7.79,8.11,6276000.0,8.11
2015-01-12,8.42,8.42,8.05,8.24,2685000.0,8.24
2015-01-09,8.61,8.79,8.38,8.58,5548800.0,8.58
2015-01-08,8.56,8.94,8.48,8.64,4607100.0,8.64
2015-01-07,8.6,8.89,8.35,8.44,4031000.0,8.44
2015-01-06,8.44,8.56,8.02,8.43,6422400.0,8.43
2015-01-05,8.61,8.85,8.23,8.25,4057000.0,8.25
2015-01-02,8.81,9.1,8.66,8.94,2952100.0,8.94
2014-12-31,8.75,9.02,8.6,8.89,2661400.0,8.89
2014-12-30,8.94,9.11,8.78,8.87,2599700.0,8.87
2014-12-29,8.93,9.17,8.79,9.02,3027400.0,9.02
2014-12-26,8.96,9.16,8.83,8.89,2564100.0,8.89
2014-12-24,8.97,9.07,8.7,8.79,1646000.0,8.79
2014-12-23,9.06,9.2,8.93,9.04,3658700.0,9.04
2014-12-22,9.22,9.25,8.63,8.91,4944400.0,8.91
2014-12-19,8.84,9.39,8.63,9.37,5797200.0,9.37
